VK;Wort;Prozent;Worteinordnung;filtername;kommt von…;Anmerkung;Sprache;schon bearbeitet
4;JADEGEIST;0.1 %;;;;unwichtig;;x
4;WOCHE;0.1 %;;;;unwichtig;;x
4;DARKMOON;0.1 %;;;;unwichtig;;x
4;NETHERRAKETE;0.1 %;;;;unwichtig;;x
4;1-3HC;0.1 %;;;;ersetzt;;x
4;14-17UHR;0.1 %;;;;unwichtig;;x
4;ELEMENTIUMGEODE;0.1 %;;;;unwichtig;;x
4;JAHR;0.1 %;;;;unwichtig;;x
4;UNTERNIMMT;0.1 %;;;;unwichtig;;x
4;FRISCH;0.1 %;;;;unwichtig;;x
4;HOMEPAGE;0.1 %;;;;unwichtig;;x
4;TUN;0.1 %;;;;unwichtig;;x
4;SCHWERT;0.1 %;;;;unwichtig;;x
4;09.Okt;0.1 %;;;;unwichtig;;x
4;FLäMMLING;0.1 %;;;;unwichtig;;x
4;WINKEN;0.1 %;;;;unwichtig;;x
4;AUFZIEHGNOM;0.1 %;;;;unwichtig;;x
4;HELD;0.1 %;;;;unwichtig;;x
4;FOSSILES;0.1 %;;;;unwichtig;;x
4;MöRDERS;0.1 %;;;;unwichtig;;x
4;WERT;0.1 %;;;;unwichtig;;x
4;RUSHEN;0.1 %;entlehnung;eiltempo;eiltempo;filter1;e;x
4;KARTEN;0.1 %;;;;unwichtig;;x
4;STYLEGEAR;0.1 %;entlehnung;;nur optisch ansprechende ausrüstung;;e;x
4;05.Mai;0.1 %;;;;unwichtig;;x
4;HOW;0.1 %;;;;unwichtig;;x
4;1900LR;0.1 %;;;;ersetzt;;x
4;MULTI;0.1 %;entlehnung;;mehrfach;;e;x
4;FREI;0.1 %;;;;unwichtig;;x
4;BEKOMMT;0.1 %;;;;unwichtig;;x
4;ERFAHRENER;0.1 %;;;;unwichtig;;x
4;SEIDE;0.1 %;;;;unwichtig;;x
4;DERZEIT;0.1 %;;;;unwichtig;;x
4;PUNKTE;0.1 %;;;;unwichtig;;x
4;RAIDCHARS;0.1 %;kopfwort;;schlachtzugscharaktere;;e;x
4;NEBEL;0.1 %;;;;unwichtig;;x
4;PROGRESS;0.1 %;entlehnung;;fortschritt;;e;x
4;MOP-KRäUTER;0.1 %;partielles kurzwort;;mists of pandaria-kräuter;;e;x
4;L;0.1 %;;;;unwichtig;;x
4;REINEN;0.1 %;;;;unwichtig;;x
4;GEHEN;0.1 %;;;;unwichtig;;x
4;SHI;0.1 %;;;;unwichtig;;x
4;20G;0.1 %;;;;unwichtig;;x
4;FOTOS;0.1 %;;;;unwichtig;;x
4;GELEGT;0.1 %;;;;unwichtig;;x
4;WINTRADER;0.1 %;entlehnung;;händler, die mit einem sieg im pvp handeln;;e;x
4;PALA/PRIEST/SCHAMI;0.1 %;;;;ersetzt;;x
4;RDUDU;0.1 %;mischkurzwort;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
4;RESTOSHAMY;0.1 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
4;RSCHAMI;0.1 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
4;WARRY;0.1 %;mischkurzwort;krieger;krieger;klasse;e;x
3;2N2;0.07 %;numeral;;;ersetzt;;x
3;5ER;0.07 %;numeral;;;;;x
3;5K;0.07 %;numeral;;;unwichtig;;x
3;ACM'S;0.07 %;initialkurzwort;;achievements;filter1;e;x
3;CP;0.07 %;initialkurzwort;;conquest points;;e;x
3;BOOMKIN;0.07 %;entlehnung;druide-gleichgewicht;druide mit gleichgewichtsfertigkeitsbaum;klasse;e;x
3;DD-SPEC;0.07 %;mischkurzwort;ddspec;talentspezialisierung ausgelegt auf schaden;filter1;e;x
3;HEALDRUIDE;0.07 %;entlehnung;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
3;FDS;0.07 %;initialkurzwort;;festung der stürme;instanz;e;x
3;HEALSCHAMANE;0.07 %;entlehnung;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
3;HEALSPEC;0.07 %;kopfwort;heilspezialisierung;heil-talentspezialisierung;klasse;e;x
3;HEALSPECC;0.07 %;kopfwort;heilspezialisierung;heil-talentspezialisierung;klasse;e;x
3;JäGER;0.07 %;;jäger;jäger;klasse;;x
3;MW;0.07 %;;;;ersetzt;;x
3;JC;0.07 %;initialkurzwort;juwelenschleifer;jewelcrafter/juwelenschleifer;filter1;;x
3;FRAKTURIERTE;0.07 %;;;;unwichtig;;x
3;GILDENUNTERSCHRIFT;0.07 %;;;;unwichtig;;x
3;GEISTERGESCHMIEDETE;0.07 %;;;;unwichtig;;x
3;LOVE;0.07 %;;;;unwichtig;;x
3;HORRORCORE;0.07 %;;;;unwichtig;;x
3;10NH;0.07 %;;;;ersetzt;;x
3;SUNRISE;0.07 %;;;;unwichtig;;x
3;ARENATEAM;0.07 %;;;;unwichtig;;x
3;VORRAUSSETZUNG;0.07 %;;;;unwichtig;;x
3;RAPTOR170K;0.07 %;;;;unwichtig;;x
3;FRAKTION;0.07 %;;;;unwichtig;;x
3;ZIEHE;0.07 %;;;;unwichtig;;x
3;LEVEL25;0.07 %;;;;unwichtig;;x
3;ROTE;0.07 %;;;;unwichtig;;x
3;SEAS;0.07 %;kopfwort;;season;;e;x
3;NETTES;0.07 %;;;;unwichtig;;x
3;RUF;0.07 %;;;;unwichtig;;x
3;WEIL;0.07 %;;;;unwichtig;;x
3;HERAUSFORDERUNGSMODUS;0.07 %;;;;unwichtig;;x
3;RT6;0.07 %;;;;unwichtig;;x
3;WISSEN;0.07 %;;;;unwichtig;;x
3;4DD´S;0.07 %;;;;ersetzt;;x
3;AUSREICHEND;0.07 %;;;;unwichtig;;x
3;DD`S(NEED;0.07 %;;;;ersetzt;;x
3;ANGELN;0.07 %;;;;unwichtig;;x
3;1FC(WARRI;0.07 %;;;;ersetzt;;x
3;LIVE;0.07 %;kopfwort;liverating;liverating;filter1;e;x
3;RAKETE;0.07 %;;;;unwichtig;;x
3;PARA;0.07 %;;;;unwichtig;;x
3;FIRE;0.07 %;;;;unwichtig;;x
3;DAUERN;0.07 %;;;;unwichtig;;x
3;LANGE;0.07 %;;;;unwichtig;;x
3;2200|2400|HERO;0.07 %;;;;ersetzt;;x
3;BELLUM;0.07 %;;;;unwichtig;;x
3;KARTE;0.07 %;;;;unwichtig;;x
3;SCHLEUNIGST;0.07 %;;;;unwichtig;;x
3;MINUTEN;0.07 %;;;;unwichtig;;x
3;SAPHIRJUNGES;0.07 %;;;;unwichtig;;x
3;DIV;0.07 %;kopfwort;;diverse;;;x
3;EPIC;0.07 %;entlehnung;;episch;;e;x
3;FLäMMLINGSTUFE;0.07 %;;;;unwichtig;;x
3;CROSSREALM;0.07 %;homophone abkürzung;serverübergreifend;;filter1;e;x
3;LOHNT;0.07 %;;;;unwichtig;;x
3;ZWEI;0.07 %;;;;unwichtig;;x
3;SI;0.07 %;;;;unwichtig;;x
3;KAISERS;0.07 %;;;;unwichtig;;x
3;ART;0.07 %;;;;unwichtig;;x
3;ALLER;0.07 %;;;;unwichtig;;x
3;LICHTGEMME;0.07 %;;;;unwichtig;;x
3;VIS;0.07 %;;;;unwichtig;;x
3;MELDET;0.07 %;;;;unwichtig;;x
3;GÜNSTIG;0.07 %;;;;unwichtig;;x
3;VERMäCHTNIS;0.07 %;;;;unwichtig;;x
3;TRYS;0.07 %;;;;unwichtig;;x
3;PACEM;0.07 %;;;;unwichtig;;x
3;LEBENS;0.07 %;;;;unwichtig;;x
3;RABBIT;0.07 %;;;;unwichtig;;x
3;STAMMGRP;0.07 %;partielles kurzwort;stammgruppe;stammgruppe;;e;x
3;KRÄUTER;0.07 %;;;;unwichtig;;x
3;VISIT;0.07 %;;;;unwichtig;;x
3;HYPNOTISCHER;0.07 %;;;;unwichtig;;x
3;STAUB;0.07 %;;;;unwichtig;;x
3;RATED;0.07 %;entlehnung;;gewertet;;e;x
3;RENT;0.07 %;entlehnung;;rent a tank, einen tank für instanzen bezahlen;;e;x
3;TANK(KEIN;0.07 %;;;;ersetzt;;x
3;SEIT;0.07 %;;;;unwichtig;;x
3;NOTWENDIG;0.07 %;;;;unwichtig;;x
3;WILLST;0.07 %;;;;unwichtig;;x
3;BEKANNT;0.07 %;;;;unwichtig;;x
3;DD/SCHURKE;0.07 %;;;;ersetzt;;x
3;PUNKTECAP;0.07 %;mischkurzwort;;maximale punkteanzahl;;e;x
3;1HEALS;0.07 %;;;;ersetzt;;x
3;RBG-CAP;0.07 %;entlehnung;;maximale rbgbesucheanzahl;;e;x
3;ARENAMATE;0.07 %;entlehnung;arenateamkollege;arenateamkollege;filter1;e;x
3;SHATTERPLAY;0.07 %;entlehnung;;arenakombination;;e;x
3;VERSCHENKEN;0.07 %;;;;unwichtig;;x
3;KATHEDRALE;0.07 %;;;;unwichtig;;x
3;BäREN;0.07 %;;;;unwichtig;;x
3;1900XP;0.07 %;;;;ersetzt;;x
3;CAP(GERNE;0.07 %;;;;ersetzt;;x
3;FALLS;0.07 %;;;;unwichtig;;x
3;IHN;0.07 %;;;;unwichtig;;x
3;DUROTAR;0.07 %;;;;unwichtig;;x
3;SKORPION;0.07 %;;;;unwichtig;;x
3;LFFüR;0.07 %;;;;ersetzt;;x
3;AKTUELLEN;0.07 %;;;;unwichtig;;x
3;GS489;0.07 %;;;;ersetzt;;x
3;QUESTEN;0.07 %;entlehnung;;aufgaben erledigen;;e;x
3;ARMSCHIENEN;0.07 %;;;;unwichtig;;x
3;EVENT;0.07 %;entlehnung;;event;;e;x
3;ZWINGEND;0.07 %;;;;unwichtig;;x
3;ANWESENHEIT;0.07 %;;;;unwichtig;;x
3;MY;0.07 %;;;;unwichtig;;x
3;AKTUELL;0.07 %;;;;unwichtig;;x
3;ZOCKEN;0.07 %;;;spielen;;e;x
3;REQ;0.07 %;kopfwort;;required;;e;x
3;DUNKELMOND-KARTE;0.07 %;;;;unwichtig;;x
3;CRAP;0.07 %;entlehnung;;müll;;e;x
3;STEEL;0.07 %;;;;unwichtig;;x
3;FRAGEN/INT;0.07 %;;;;unwichtig;;x
3;NOCHT;0.07 %;;;;unwichtig;;x
3;ARCHI;0.07 %;kopfwort;;archimonde;;;x
3;HYJAL;0.07 %;;;;unwichtig;;x
3;JEDEN;0.07 %;;;;unwichtig;;x
3;ENTSPANNTE;0.07 %;;;;unwichtig;;x
3;T1UND;0.07 %;;;;ersetzt;;x
3;SCHLACHT;0.07 %;;;;unwichtig;;x
3;EVERYTHING;0.07 %;;;;unwichtig;;x
3;PASSEN;0.07 %;;;;unwichtig;;x
3;MOGURAID;0.07 %;;;;ersetzt;;x
3;LEGENDARY;0.07 %;entlehnung;;legendär;;e;x
3;SCHNELLER;0.07 %;;;;unwichtig;;x
3;1RANGE;0.07 %;;;;ersetzt;;x
3;LERNEN;0.07 %;;;;unwichtig;;x
3;ISN;0.07 %;;;;unwichtig;;x
3;GEISTERSPLITTER;0.07 %;;;;unwichtig;;x
3;TANKS(EINER;0.07 %;;;;ersetzt;;x
3;P;0.07 %;;;;unwichtig;;x
3;GRATIS;0.07 %;;;;unwichtig;;x
3;KRäUTER;0.07 %;;;;unwichtig;;x
3;DUNKELMONDKARTEN;0.07 %;;;;unwichtig;;x
3;ZB;0.07 %;;;;unwichtig;;x
3;DOTA;0.07 %;entlehnung;;defense of the ancients;;e;x
3;LR-PUSH;0.07 %;mischkurzwort;;liverating-erhöhung;;e;x
3;UNTERSCHREIBT;0.07 %;;;;unwichtig;;x
3;TRANK;0.07 %;;;;unwichtig;;x
3;LEI;0.07 %;;;;unwichtig;;x
3;<3;0.07 %;emoticon;;;;;x
3;HöHER;0.07 %;;;;unwichtig;;x
3;ZEIGEN;0.07 %;;;;unwichtig;;x
3;ANGST1X;0.07 %;;;;unwichtig;;x
3;ANSCHLUSS(ILVL;0.07 %;;;;ersetzt;;x
3;SEUCHENMORD;0.07 %;;;;unwichtig;;x
3;OK;0.07 %;;;;unwichtig;;x
3;BIST;0.07 %;;;;unwichtig;;x
3;FREE;0.07 %;entlehnung;;frei;;e;x
3;RITTER;0.07 %;;;;unwichtig;;x
3;HILFE;0.07 %;;;;unwichtig;;x
3;02.Mai;0.07 %;;;;unwichtig;;x
3;ILVL479;0.07 %;;;;ersetzt;;x
3;NAMEN;0.07 %;;;;unwichtig;;x
3;RAIDSTAMM;0.07 %;kopfwort;raidstammgruppe;schlachtzugsstammgruppe;;e;x
3;PECHSCHWINGENHORT;0.07 %;;;;unwichtig;;x
3;GILDENKLIMA;0.07 %;;;;unwichtig;;x
3;DOCH;0.07 %;;;;unwichtig;;x
3;VERSUCHEN;0.07 %;;;;unwichtig;;x
3;TAUSCH;0.07 %;;;;unwichtig;;x
3;480GS;0.07 %;;;;ersetzt;;x
3;DUNKEL;0.07 %;;;;unwichtig;;x
3;T1(2/2)WAFFE;0.07 %;;;;ersetzt;;x
3;TRANSFERIERTE;0.07 %;;;;unwichtig;;x
3;DOLCH;0.07 %;;;;unwichtig;;x
3;CODE;0.07 %;;;;unwichtig;;x
3;25ER-RAID;0.07 %;;;;ersetzt;;x
3;TOR;0.07 %;;;;unwichtig;;x
3;MONK/PALA/WARRY;0.07 %;;;;ersetzt;;x
3;HC|16/16;0.07 %;;;;ersetzt;;x
3;WWW.EXE-FROSTWOLF.ENJIN.COM;0.07 %;;;;unwichtig;;x
3;KOMMENDEN;0.07 %;;;;unwichtig;;x
3;"EXE""!RECRUITMENT";0.07 %;;;;unwichtig;;x
3;SICHERE;0.07 %;;;;unwichtig;;x
3;GEISTEREISENBARREN;0.07 %;;;;unwichtig;;x
3;KROLKRUMMSäBEL;0.07 %;;;;unwichtig;;x
3;BOSSE.SUCHEN;0.07 %;;;;unwichtig;;x
3;CARD;0.07 %;;;;unwichtig;;x
3;MITEINANDER;0.07 %;;;;unwichtig;;x
3;SCHILD;0.07 %;;;;unwichtig;;x
3;01:00;0.07 %;;;;unwichtig;;x
3;ETWA;0.07 %;;;;unwichtig;;x
3;MEIN;0.07 %;;;;unwichtig;;x
3;SEXY;0.07 %;;;;unwichtig;;x
3;LADY;0.07 %;;;;unwichtig;;x
3;PAUSE;0.07 %;;;;unwichtig;;x
3;ERHALTEN;0.07 %;;;;unwichtig;;x
3;GARALON;0.07 %;;;;unwichtig;;x
3;MO,DI,DO;0.07 %;;;;unwichtig;;x
3;22:00;0.07 %;;;;unwichtig;;x
3;DRACHENREITER;0.07 %;;;;unwichtig;;x
3;JEDE;0.07 %;;;;unwichtig;;x
3;IMMER;0.07 %;;;;unwichtig;;x
3;Sep.16;0.07 %;;;;unwichtig;;x
3;300.000G;0.07 %;;;;unwichtig;;x
3;DD/TANK;0.07 %;;;;ersetzt;;x
3;ADD;0.07 %;;;;unwichtig;;x
3;SIEHE;0.07 %;;;;unwichtig;;x
3;EXOTISCHES;0.07 %;;;;unwichtig;;x
3;FLôWE;0.07 %;;;;unwichtig;;x
3;BATTLETAG;0.07 %;entlehnung;;nick, mit dem man im battle.net aufscheint;;e;x
3;1900-2000;0.07 %;;;;unwichtig;;x
3;BEWEISEN;0.07 %;;;;unwichtig;;x
3;ETC;0.07 %;;;;unwichtig;;x
3;KITTY;0.07 %;;;;unwichtig;;x
3;KOSTENPUNKT;0.07 %;;;;unwichtig;;x
3;BLUTGEISTJE;0.07 %;;;;unwichtig;;x
3;HDA/TERRASSE;0.07 %;;;;ersetzt;;x
3;ITEMSTUFE;0.07 %;;itemlevel;;filter1;;x
3;KAMPFGILDE;0.07 %;;;;unwichtig;;x
3;VERKAUF;0.07 %;;;;unwichtig;;x
3;GILDENLOSE;0.07 %;;;;unwichtig;;x
3;BLUTGEISTER;0.07 %;;;;unwichtig;;x
3;ROOSTER;0.07 %;;;;unwichtig;;x
3;MAGIC;0.07 %;;;;unwichtig;;x
3;ROBEN;0.07 %;;;;unwichtig;;x
3;BURNING;0.07 %;;;;unwichtig;;x
3;ANDEREN;0.07 %;;;;unwichtig;;x
3;GILDENLEVEL;0.07 %;entlehnung;;gildenstufe;;e;x
3;GLYPHE;0.07 %;;;;unwichtig;;x
3;2HEAL;0.07 %;;;;ersetzt;;x
3;RICHTIG;0.07 %;;;;unwichtig;;x
3;ZUKüNFTIGE;0.07 %;;;;unwichtig;;x
3;WASSERWANDELNS;0.07 %;;;;unwichtig;;x
3;KAUF;0.07 %;;;;unwichtig;;x
3;WERDE;0.07 %;;;;unwichtig;;x
3;SIEG;0.07 %;;;;unwichtig;;x
3;MINDESTENS;0.07 %;;;;unwichtig;;x
3;ELIXIER;0.07 %;;;;unwichtig;;x
3;JAHRE;0.07 %;;;;unwichtig;;x
3;HABEN*.BEWERBUNG;0.07 %;;;;unwichtig;;x
3;WWW.ELYSIUM-FROSTWOLF.GDKP.DE;0.07 %;;;;unwichtig;;x
3;XD;0.07 %;emoticon;;;;;x
3;TEILE;0.07 %;;;;unwichtig;;x
3;UND*RAID;0.07 %;;;;ersetzt;;x
3;MELEE;0.07 %;entlehnung;;nahkämpfer;;e;x
3;SOLLTEST;0.07 %;;;;unwichtig;;x
3;SG1;0.07 %;;;;unwichtig;;x
3;HERO(LETZTE;0.07 %;;;;ersetzt;;x
3;ÉLYSIUM*;0.07 %;;;;unwichtig;;x
3;ACHIEVMENTS;0.07 %;;;;ersetzt;;x
3;MASSENGILDE;0.07 %;;;;unwichtig;;x
3;SRS;0.07 %;mischkurzwort;;seriously;;e;x
3;KILLERS;0.07 %;;;;unwichtig;;x
3;DANKE;0.07 %;;;;unwichtig;;x
3;BORN;0.07 %;;;;unwichtig;;x
3;NATURAL;0.07 %;;;;unwichtig;;x
3;DUNKELMOND-PANZER7.5K;0.07 %;;;;unwichtig;;x
3;ELEMENTIUMSCHLIEßKASSETTE;0.07 %;;;;unwichtig;;x
3;DAFüR;0.07 %;;;;unwichtig;;x
3;VERZAUBERTER;0.07 %;;;;unwichtig;;x
3;DEIN;0.07 %;;;;unwichtig;;x
3;ELEMENTIUMBARREN;0.07 %;;;;unwichtig;;x
3;HEROS;0.07 %;kopfwort;heroisch;heroisch;filter1;e;x
3;<<;0.07 %;;;;unwichtig;;x
3;MIAU;0.07 %;;;;unwichtig;;x
3;SICHERN;0.07 %;;;;unwichtig;;x
3;TEQILA;0.07 %;;;;unwichtig;;x
3;*.*;0.07 %;emoticon;;japanisch;;;x
3;LEAVER;0.07 %;;;;unwichtig;;x
3;ZEITWANDLER;0.07 %;;;;unwichtig;;x
3;UNTERSTüTZUNG;0.07 %;;;;unwichtig;;x
3;2V2/3V3;0.07 %;;;;ersetzt;;x
3;MOUNT/SELTEN;0.07 %;;;;ersetzt;;x
3;TITEL;0.07 %;;;;unwichtig;;x
3;ABH;0.07 %;mischkurzwort;;abhärtung;;;x
3;ARENAPARTNER;0.07 %;;;;unwichtig;;x
3;SOWIE1;0.07 %;;;;unwichtig;;x
3;STAMMS;0.07 %;kopfwort;;stammgruppen;filter1;;x
3;FREUEN;0.07 %;;;;unwichtig;;x
3;NACHNAHME;0.07 %;;;;unwichtig;;x
3;WOTLK;0.07 %;entlehnung;;wrath of the lich king;;e;x
3;1000G;0.07 %;;;;unwichtig;;x
3;3DDS;0.07 %;;;;ersetzt;;x
3;SAISON;0.07 %;;;;unwichtig;;x
3;INTELLIGENZ;0.07 %;;;;unwichtig;;x
3;BORGEN;0.07 %;;;;unwichtig;;x
3;LICHT;0.07 %;;;;unwichtig;;x
3;SERVER;0.07 %;;;;unwichtig;;x
3;DAMIT;0.07 %;;;;unwichtig;;x
3;REGELN;0.07 %;;;;unwichtig;;x
3;EASY;0.07 %;;;;unwichtig;;x
3;489GS;0.07 %;;;;ersetzt;;x
3;RUNDEN;0.07 %;;;;unwichtig;;x
3;DOWN;0.07 %;entlehnung;;boss tot;;e;x
3;DäMMERKLINGE;0.07 %;;;;unwichtig;;x
3;FDK(TC;0.07 %;;;;ersetzt;;x
3;FIRST;0.07 %;entlehnung;;1st (kill z.B.);;e;x
3;MOUNTS;0.07 %;entlehnung;pferd;pferd;filter1;e;x
3;GECLEART;0.07 %;entlehnung;;von monstern befreit;;e;x
3;ITLVL;0.07 %;mischkurzwort;itemlevel;itemlevel;filter1;e;x
3;1/5DPS.NöTIGES;0.07 %;;;;unwichtig;;x
3;MORGENS;0.07 %;;;;unwichtig;;x
3;AUFM;0.07 %;;;;unwichtig;;x
3;AUSSER;0.07 %;;;;unwichtig;;x
3;RDROOD;0.07 %;mischkurzwort;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
3;RDRUD/MONK;0.07 %;;;;ersetzt;;x
3;ROUGE;0.07 %;entlehnung;schurke;schurke;klasse;e;x
3;RSHAMI;0.07 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
3;SHADOW/DISZI;0.07 %;;;;ersetzt;;x
3;SHAM;0.07 %;kopfwort;schamane;schamane;klasse;e;x
3;SHAMI/DISZI/MONK;0.07 %;;;;ersetzt;;x
3;SHAMIE;0.07 %;kopfwort;schamana;schamane;klasse;e;x
3;UNHOLY;0.07 %;entlehnung;todesritter-unheilig;todesritter mit unheiligfertigkeitsbaum;klasse;e;x
3;WARR;0.07 %;kopfwort;krieger;krieger;klasse;e;x
2;25GER;0.05 %;numeral;;;ersetzt;;x
2;480ER;0.05 %;numeral;;;unwichtig;;x
2;5ON5;0.05 %;numeral;;;;;x
2;AQ40;0.05 %;initialkurzwort;;Ruinen von AnQirai 40 Pers.;instanz;e;x
2;1XMAGE;0.05 %;;;;ersetzt;;x
2;1XMOONKIN+RESTOSPEC;0.05 %;;;;ersetzt;;x
2;AFFLI;0.05 %;kopfwort;;hexer mit gebrechenfertigkeitsbaum;klasse;e;x
2;BLOOD;0.05 %;;;;unwichtig;;x
2;DESTO;0.05 %;mischkurzwort;hexer-zerstörung;hexer mit zerstörungsfertigkeitsbaum;klasse;e;x
2;DESTRO/DEMO;0.05 %;;;;ersetzt;;x
2;DISZ;0.05 %;kopfwort;priester-disziplin;priester mit disziplinfertigkeitsbaum;klasse;e;x
2;DK,PALADIN;0.05 %;;;;ersetzt;;x
2;DRUI;0.05 %;;;;ersetzt;;x
2;DRUIDEN;0.05 %;;druide;druide;klasse;e;x
2;DUDU,SCHAMI;0.05 %;;;;ersetzt;;x
2;DUDU/MONK;0.05 %;;;;ersetzt;;x
2;DUDU/SCHAMIE;0.05 %;;;;ersetzt;;x
2;ELE/EULE;0.05 %;;;;ersetzt;;x
2;ELESHAMI;0.05 %;mischkurzwort;schamane-elementar;schamane mit elementarfertigkeitsbaum;klasse;e;x
2;EULE/MAGE/WL/HUNTER;0.05 %;;;;ersetzt;;x
2;FERAL&WARRI;0.05 %;;;;ersetzt;;x
2;FERAL/TANK;0.05 %;;;;ersetzt;;x
2;CAPPEN;0.05 %;entlehnung;;die maximalen eroberungspunkte der woche sammeln;;e;x
2;HEAL(SHAMI/MONK;0.05 %;;;;ersetzt;;x
2;HEAL/DUDU;0.05 %;;;;ersetzt;;x
2;HEAL-DRUID;0.05 %;mischkurzwort;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
2;HEAL-MONK;0.05 %;mischkurzwort;mönch-nebelwirker;mönch mit nebelwirkerfertigkeitsbaum;klasse;e;x
2;HEILER(MONK,DUDU,SCHAMI;0.05 %;;;;ersetzt;;x
2;HEILSCHAMI;0.05 %;;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;;x
2;HERXER/EULE;0.05 %;;;;ersetzt;;x
2;HEXER/EULE;0.05 %;;;;ersetzt;;x
2;HEXER/MAGE;0.05 %;;;;ersetzt;;x
2;HEXER/SHADOW/EULE;0.05 %;;;;ersetzt;;x
2;HMONK;0.05 %;partielles kurzwort;mönch-nebelwirker;mönch mit nebelwirkerfertigkeitsbaum;klasse;e;x
2;HOLYPALADIN;0.05 %;kopfwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;e;x
2;H-PALA;0.05 %;mischkurzwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;;x
2;HRDUID/DISC+MAGE/ELE;0.05 %;;;;ersetzt;;x
2;HUNTER/WARRI;0.05 %;;;;ersetzt;;x
2;KRIEGERTANK;0.05 %;entlehnung;;krieger mit schutzfertigkeitsbaum;klasse;e;x
2;MAGE,WL,DK..]/3S,THUG,RPS;0.05 %;;;;ersetzt;;x
2;MAGE/FERAL/DK;0.05 %;;;;ersetzt;;x
2;ATM;0.05 %;initialkurzwort;;at the moment;;e;x
2;MONK,SCHAMI;0.05 %;;;;ersetzt;;x
2;MONKHEAL;0.05 %;mischkurzwort;mönch-nebelwirker;mönch mit nebelwirkerfertigkeitsbaum;klasse;e;x
2;PALA/SHAMI;0.05 %;;;;ersetzt;;x
2;PALA/SHAMI/PRIEST/MONK;0.05 %;;;;ersetzt;;x
2;PRIESTER/PALA;0.05 %;;;;ersetzt;;x
2;ONLINE;0.05 %;;;;unwichtig;;x
2;0/5DPS.NöTIGES;0.05 %;;;;unwichtig;;x
2;GS475;0.05 %;;;;ersetzt;;x
2;EGG;0.05 %;;;;unwichtig;;x
2;4DPS;0.05 %;;;;ersetzt;;x
2;ANNIMMT;0.05 %;;;;unwichtig;;x
2;LR1,7;0.05 %;;;;ersetzt;;x
2;LVLN;0.05 %;mischkurzwort;;leveln, stufe ansteigen;;e;x
2;HTTP://WWW.TWITCH.TV/QTADUDE;0.05 %;;;;unwichtig;;x
2;PREV;0.05 %;;;;ersetzt;;x
2;RAID-KADER´S;0.05 %;entlehnung;;schlachtzugsgruppe;ersetzt;;x
2;MG/HDA;0.05 %;;;;ersetzt;;x
2;SPIEß;0.05 %;;;;unwichtig;;x
2;PORTET;0.05 %;;;;unwichtig;;x
2;DO&MO;0.05 %;;;;unwichtig;;x
2;INS;0.05 %;;;;unwichtig;;x
2;PROT;0.05 %;kopfwort;;paladin mit schutzfertigkeitsbaum;klasse;e;x
2;IRDENEN;0.05 %;;;;unwichtig;;x
2;SCHREIBT;0.05 %;;;;unwichtig;;x
2;INNIS;0.05 %;mischkurzwort;instanz;instanz;;e;x
2;1MAGE;0.05 %;;;;ersetzt;;x
2;RBGMARKO;0.05 %;;;;unwichtig;;x
2;WWW.HIMML.EU;0.05 %;;;;unwichtig;;x
2;WISHED;0.05 %;;;;unwichtig;;x
2;WENIGSTENS;0.05 %;;;;unwichtig;;x
2;SUPER;0.05 %;;;;unwichtig;;x
2;KRANICHKARTENSET;0.05 %;;;;unwichtig;;x
2;R-DRUI;0.05 %;;;;ersetzt;;x
2;TWITCH;0.05 %;;;;unwichtig;;x
2;NACHTRAID;0.05 %;entlehnung;;schlachtzug nachts;;e;x
2;SPIELT;0.05 %;;;;unwichtig;;x
2;MEINEM;0.05 %;;;;unwichtig;;x
2;XP'D;0.05 %;;;;ersetzt;;x
2;LIFE;0.05 %;;;;unwichtig;;x
2;BREASTPLATE;0.05 %;;;;unwichtig;;x
2;MöGL;0.05 %;;;;unwichtig;;x
2;BEZWINGERS;0.05 %;;;;unwichtig;;x
2;UNTERGEHENDEN;0.05 %;;;;unwichtig;;x
2;SUCHR;0.05 %;;;;unwichtig;;x
2;ARENA/RBG;0.05 %;;;;ersetzt;;x
2;****GILDENSTAMM;0.05 %;kopfwort;;;ersetzt;;x
2;STEAM;0.05 %;;;;unwichtig;;x
2;RELIC;0.05 %;;;;unwichtig;;x
2;BEREIT;0.05 %;;;;unwichtig;;x
2;GILDENINTERNEN;0.05 %;;;;unwichtig;;x
2;TIDYPLATES;0.05 %;;;;unwichtig;;x
2;AUSWEICHMANöVER!!11;0.05 %;;;;unwichtig;;x
